total deviance | predicted | actual
0.024100336964094127 | 0.81442666,0.58521754,0.036826223 | 0.8197579203125653,0.572455142179177,0.0170898296491298
0.019013013479434335 | 0.44281557,0.2057057,0.8783725 | 0.4274688542829098,0.19533886416677404,0.8826738394016735
0.004675676303151525 | 0.65114796,0.76349837,0.016521484 | 0.6465518594606977,0.7626850770002925,0.016797807862102963
0.017209928283281634 | 0.29275382,0.51180094,0.81286985 | 0.3014670952622838,0.5189635686697226,0.7998714927209915
0.017494905280563227 | 0.1196329,0.93740875,0.3345683 | 0.12822820086909018,0.9289637413128479,0.3472519198333002
0.01655989604646834 | 0.78774136,0.021562854,0.6226345 | 0.7870419000498121,0.006054473384033814,0.616869833042615
0.022429785528418678 | 0.7024824,0.06729478,0.71491534 | 0.7038813831005725,0.04574802584064571,0.7088428010892885
0.01110662365912428 | 0.8798134,0.43162403,0.20800212 | 0.8833373333894755,0.42152053235112114,0.2050258428754729
0.023932698394186325 | 0.62029505,0.39398313,0.6870608 | 0.6189578902895633,0.37070095499055494,0.6924391179139026
0.006617452821406446 | 0.16451076,0.67582685,0.72399503 | 0.16156093018842418,0.6699369158469418,0.7246258307720881
0.017780320630193032 | 0.8063923,0.4948331,0.32826307 | 0.8139499725432864,0.47875836153792317,0.32905299490250295
0.022848063807038233 | 0.72930187,0.2963797,0.62548095 | 0.7214295186973673,0.27700032164534516,0.6346733580043046
0.01702394263632597 | 0.48488113,0.53162485,0.70116216 | 0.4732528666308955,0.5223017959092063,0.7093888624835165
0.005489098971839975 | 0.4918476,0.54019386,0.6899025 | 0.4911512078854796,0.5383954857131222,0.6847633109011942
0.019210964565764883 | 0.17577748,0.9413441,0.2986383 | 0.15814870375828172,0.943467257283593,0.29130486081311746
0.010569001569798255 | 0.962628,0.21241367,0.17586187 | 0.9586832453722797,0.2220112379778835,0.1778691801690244
0.013268788122161467 | 0.40456071,0.16285247,0.9049658 | 0.4030232112224781,0.14984577103806232,0.9028391529602215
0.0262228876615929 | 0.4489246,0.89954525,0.038006157 | 0.4684119916943164,0.8825026611375639,0.04218126506023095
0.006775358243857486 | 0.7537699,0.64332867,0.15971735 | 0.7480596681991312,0.6449287902307358,0.15644036673865655
0.012019931331809277 | 0.68459255,0.11309374,0.7264059 | 0.6827239905004115,0.10156019183831226,0.7235837755429285
0.006620331779826073 | 0.44831446,0.31506827,0.8435498 | 0.44674002851964234,0.31561842778584975,0.8371429716364209
0.00729424755397544 | 0.67820776,0.6466417,0.3577818 | 0.6799931409150609,0.6396048340831764,0.3584898666990497
0.021544805187996795 | 0.4278989,0.34009996,0.8441246 | 0.423405419953297,0.31934976286518796,0.8477874611670784
0.014024311719562834 | 0.40997556,0.6645397,0.6341261 | 0.3960718960607084,0.6655479867425401,0.6325922308200023
0.006584837913620967 | 0.63853765,0.6832307,0.3645917 | 0.6383667717962214,0.681247611479913,0.35831488459089234
0.005574341650948379 | 0.6853743,0.6934313,0.2375541 | 0.6861172310953098,0.6880652746682246,0.23623996907772804
